DESCRIPTION,UNITS
Body Height,cm
Body temperature,Cel
Cause of Death [US Standard Certificate of Death],
FEV1/FVC,%
QALY,a
Glucose,mg/dL
Hemoglobin [Mass/volume] in Blood,g/dL
Sexual orientation,{nominal}
Pain severity - 0-10 verbal numeric rating [Score] - Reported,{score}
Response to cancer treatment,
NT-proBNP,pg/mL
Total score [MMSE],(score)
Total Cholesterol,mg/dL
Left ventricular Ejection fraction,%
Peanut IgE Ab in Serum,kU/L
Physical findings of Prostate,{nominal}
Weight difference [Mass difference] --pre dialysis - post dialysis,kg
Diastolic Blood Pressure,mm[Hg]
Polyp size greatest dimension by CAP cancer protocols,mm
